Season,Episode,Scene,Character,Line
0,6,12,SAWYER (O.S.),"Ow! -- Easy, jackass!"
0,6,13,JACK,"You want it easy, quit moaning. I've got to change these bandages --"
0,6,13,SAWYER,"Yeah, well, try not taking my skin off with `em."
0,6,13,JACK,Hold. Still.
0,6,14,SAWYER,"So, considerin' we pretty much hate each other, how'd I score the house call, Dr. Quinn? Tryin' to ease your conscience?"
0,6,15,JACK,"My conscience is fine, thanks."
0,6,15,SAWYER JACK,Yeah? -- Yeah.
0,6,15,SAWYER,`Course -- what you got to feel guilty about? You let that damn Arab torture me. Stood by and watched. So now you just patch me up and you get your ticket into heaven. Only reason you're here is...
0,6,15,JACK,I'm here -- Because no one else wants anything to do with you.
0,6,16,SAWYER,She does.
0,6,17,JACK,Change your own damn bandages.
0,6,20,JACK (O.S.),Looking for someone...?
0,6,21,JACK (CONT'D),-- Or just admiring the view?
0,6,22,KATE,"It's been two days, Jack."
0,6,22,JACK,What?
0,6,22,KATE,Two days since Sayid took off on his own. I keep thinking I'm gonna look up and see him coming back.
0,6,23,JACK,He'll come back when he finds what he's looking for. The French transmission...
0,6,23,KATE,He wasn't looking for anything -- He left because of what happened... because of what he did.
0,6,24,JACK,It was an accident --
0,6,24,KATE,"-- Yeah, well, accidents happen when you torture somebody, Jack."
0,6,26,KATE (CONT'D),I'm worried about him. He's out there. Alone.
0,6,26,JACK,"Sayid's a trained soldier, Kate. He can take care of himself."
0,6,31,SAYID,Ya Allah--
0,6,40,SHANNON,Ew -- Get him out of there!
0,6,40,WALT,What?
0,6,40,SHANNON,"The dog, Webster! It's drinking our water!"
0,6,40,MICHAEL (O.S.),Hey --
0,6,41,MICHAEL (CONT'D),Do not yell at my kid. What's the problem?
0,6,41,SHANNON,My problem? I walked all the way from the beach to get something to drink... and your animal's drooling in our water supply.
0,6,43,HURLEY,"Y'know, dogs' mouths are cleaner than humans'."
0,6,43,SHANNON,Nobody asked you.
0,6,44,SHANNON (CONT'D),Oh my God -- DO SOMETHING!
0,6,45,JACK,What's going on out there?
0,6,45,HURLEY,"Ah, you know, the usual... People yelling at each other over nothing."
0,6,45,SULLIVAN,"So, what do you think, Doc? This rash... It's bad, isn't it? Some kinda jungle disease... or--"
0,6,45,JACK,Hives.
0,6,45,SULLIVAN,"Hives. What is that, like, a poison ivy--"
0,6,45,JACK,"It's a common rash, Sullivan. Brought on by heat. And stress. Just try to relax. It'll clear up."
0,6,45,SULLIVAN,You sure? I mean... It really itches. And... burns a little.
0,6,45,SUN,It's ready.
0,6,47,JACK,Here. This should help with the itching. And the burning. Just... try to get your mind off it.
0,6,47,SULLIVAN,Uh... O-okay. Thanks.
0,6,48,HURLEY,"""Get your mind off it?"" What else is that dude gonna do but stress?"
0,6,48,JACK,I've got enough on my plate without having to treat hypochondriacs.
0,6,48,HURLEY,"That's, like, my point, man. We're all fried. I mean, have you taken a look at those people out there? Everybody's way tense... y'know, since we were in a plane crash? And Sayid splitting like that. Plus... we got, like, no real plan to get off this island..."
0,6,49,HURLEY (CONT'D),"I'm just saying... It'd be sweet to have something to, y'know... do."
0,6,49,JACK,"Look, I sympathize. But we're surviving. That's my main concern right now. Keeping us alive. Things could be worse."
0,6,50,HURLEY,How?
0,6,54,SAYID,There is no divinity except God. What God has willed must be --
0,6,55,SAYID (CONT'D),Hel--Hello?
0,6,61,FIGURE,Where is Alex?
0,6,61,SAYID,Wha-- What...?
0,6,62,FIGURE,Where is Alex?
0,6,63,SAYID,Who-- Who are you?
0,6,63,FIGURE,Where... is... Alex?
0,6,63,SAYID,
0,6,66,VOICE SAYID,Where is Alex? -- Please -- Listen to me... I don't know any Alex. I'm --
0,6,67,SAYID (CONT'D),
0,6,67,PRISONER (PRE-LAP),Stop...
0,6,68,PRISONER,Stop...
0,6,70,SAYID,"You want me to stop, Falah? Then start answering my questions, because I can do this all day..."
0,6,71,SAYID (CONT'D),I assure you we already know the truth. But I want you to admit it.
0,6,72,SAYID (CONT'D),...And all the pain will stop... Your Shi'ite friends have already implicated you in the bombing.
0,6,72,PRISONER,You're... you're lying. They would never --
0,6,74,PRISONER SAYID,I had nothing... nothing -- Confess it. And perhaps to... do... it will only cost you your hands instead of your life.
0,6,77,SAYID,He doesn't know anything. Your sources were wrong.
0,6,77,OMAR,"Perhaps. But that's really not the point, is it? You handled yourself well in there."
0,6,77,SAYID,Did I?
0,6,77,OMAR,"I'll put in for your reassignment to the Intelligence Division, if you still wish it."
0,6,78,SAYID,"Yes, sir. Very much so."
0,6,78,OMAR,"Good... But stop calling me ""sir"" when it's just the two of us."
0,6,78,SAYID,"You're my superior officer, Omar. For now. Enjoy it while you can."
0,6,79,OMAR,That reminds me... a promotion is commensurate with your move...
0,6,81,OMAR (O.S.) (CONT'D),"That is, if you won't miss being a Communications Officer."
0,6,81,SAYID,I'm willing to make that sacrifice.
