Season,Episode,Scene,Character,Line
5,13,0,THE MARINE BIOLOGIST,Written by Ron Hauge & Charlie Rubin
5,13,1,ELAINE,Well did he bring it up in the meeting?
5,13,2,JERRY,"Elaine, see this T-shirts, six years I've had this T-shirts, it's my"
5,13,3,ELAINE,I'm on the phone here.
5,13,3,JERRY,"Golden Boy is always the first shirt I wear out of the laundry, here"
5,13,4,ELAINE,"No thanks. Yeah, Yeah I'll hold."
5,13,4,JERRY,"But see look at the collar, see it's fraying. Golden Boy is slowly"
5,13,6,ELAINE,Why don't you just let Golden Boy soak in the sink with some
5,13,7,JERRY,No!!! The reason he's iron man is because he goes out there and plays
5,13,10,ELAINE,Yeah. Oh! What? He is! Oh! this is so fantastic! I'm
5,13,13,JERRY,The guy in the gulag!
5,13,13,ELAINE,"Yeah! Pendant's publishing his new book, and I'm working on it!"
5,13,15,JERRY,You wanna barrow Golden Boy!
5,13,15,ELAINE,"Oh! Don't you know what this means, it's like working with Tolstoy!"
5,13,15,JERRY,Hey ya know what I read the most unbelievable thing about Tolstoy the
5,13,17,ELAINE,Ha ha.
5,13,17,JERRY,"No, no.. I'm not kidding Elaine it's true, his mistress didn't like"
5,13,18,ELAINE,But it's a line from that song!
5,13,18,JERRY,That's were they got it from!
5,13,18,ELAINE,Really?
5,13,18,JERRY,I'm not joking!
5,13,19,GEORGE,You can't handle the truth!
5,13,19,JERRY,What?
5,13,19,GEORGE,"I'm working on my Jack Nicholson, You can't handle the truth!(he"
5,13,20,ELAINE,"What, is this your mail? (She takes the mail and starts flipping"
5,13,21,GEORGE,"Yeah, I grabbed it on my way, I don't want my mother reading it."
5,13,21,ELAINE,Oh! Your Alumni Magazine.
5,13,21,JERRY,Your mother reads your mail?
5,13,21,GEORGE,Yeah.
5,13,21,JERRY,What do you mean like post-cards?
5,13,21,GEORGE,"No, anything."
5,13,21,JERRY,She doesn't open?
5,13,21,GEORGE,She'll open!
5,13,21,JERRY,You've caught your mother opening envelopes!
5,13,21,GEORGE,Yeah.
5,13,21,JERRY,What did she say?
5,13,21,GEORGE,I was curious!
5,13,21,JERRY,Isn't that against the law?
5,13,21,GEORGE,Maybe I can get her locked up.
5,13,21,ELAINE,"Hey Jerry, you're in the Alumni"
5,13,24,JERRY,He can't handle the truth!
5,13,24,ELAINE,All right.. this is too fun I gotta get back to work.
5,13,26,KRAMER,"Ah, maybe you could use this Ah,"
5,13,28,KRAMER,"Yeah you know, for phone numbers, addresses, keep appointments,"
5,13,29,ELAINE,Wow!
