Season,Episode,Scene,Character,Line
7,14,0,THE CADILLAC PART 2,Written by Larry David & Jerry Seinfeld
7,14,2,JERRY,Ow. Stupid fold-out! Why'd they put the bar in the middle of the bed?
7,14,3,JERRY,Hello?
7,14,4,ELAINE,Hi Jerry.
7,14,4,JERRY,Elaine? Wh..what's going on?
7,14,5,ELAINE,"I was thinking, I mean, I'm not really doing that much this weekend, and I thought, well, huh, what the hell, maybe I'll come down there and hang out a little."
7,14,5,JERRY,"You wanna hang out here, at phase two of the Pines of Mar Gables?"
7,14,6,ELAINE,"Well, it's just two hours by plane..."
7,14,6,JERRY,"Gee, I dunno what to tell you."
7,14,7,ELAINE,"Dammit! I got another call. Uh, hang on, don't hang up Jerry."
7,14,8,ELAINE,Yeah?
7,14,9,GEORGE,Elaine! You have got to get me Marisa Tomei's phone number!
7,14,9,ELAINE,"Okay, George, I am on the other line. I promise you, I'll get you her number."
7,14,10,GEORGE,Yeahhh.
7,14,10,ELAINE,Goodbye.
7,14,11,ELAINE,Hi.
7,14,11,JERRY,Hi.
7,14,11,ELAINE,"So, what d'you think?"
7,14,11,JERRY,"Uh, I don't think so."
7,14,11,ELAINE,Oh.
7,14,11,JERRY,I'll be back on Monday.
7,14,11,ELAINE,"Well, if you need that ride, just uhm, gimme a call. Heh. I can meet you at the gate, Jer."
7,14,11,JERRY,"Yeah, yeah. Whatever. Alright, I'll see you."
7,14,12,ELAINE,Jerry? Jerry?
7,14,12,JERRY,Yeah.
7,14,12,ELAINE,Bye.
7,14,12,JERRY,Bye.
7,14,15,KRAMER,Hello.
7,14,17,JOHN,"Hello, Mister Kramer? This is John Hanaran, from Con Ed."
7,14,19,KRAMER,"Ohh, it's Hanaran now, is it?"
7,14,19,JOHN,Yeah. We've had some reports of power surges in your building. It
7,14,21,KRAMER,"Oh, you don't say."
7,14,22,JOHN,"Yeah. Either way, we need to get into your"
7,14,25,KRAMER,"Ohh, you're good. You are really good."
7,14,25,JOHN,What're you talking about?
7,14,30,GEORGE,"Marisa Tomei! I, just spoke to Marisa Tomei!"
