Season,Episode,Scene,Character,Line
0,81,0,STARGATE SG1,Episode 417
0,81,0,"""ABSOLUTE POWER""",By Robert C. Cooper Abydos- SG1 and Kasuf are walking across the desert.
0,81,0,O'NEILL,Yeah Kasuf. About this voice that spoke to you?
0,81,0,KASUF,"Yes. It spoke the name of my daughter, may she rest in peace. I'm not the only one who heard it. Many fear it is a sign that the Gods are returning."
0,81,0,O'NEILL,I thought we'd finally convinced you and your people that the Goa'uld were not Gods.
0,81,0,KASUF,"I said many, not I. But it is easy to understand, in the days of Ra when he returned from a journey, a great storm would blow through the desert."
0,81,0,O'NEILL,It's just wind. Wind happens.
0,81,0,CARTER,We're talking about a wind that blew out of an active Stargate.
0,81,0,DANIEL,And formed a sandstorm.
0,81,0,KASUF,You forget it said the name Sha're.
0,81,0,O'NEILL,Ahh well it's not like a burning bush or anything.
0,81,0,KASUF,I have seen many bushes burn.
0,81,0,O'NEILL,Spose you have.
0,81,0,KASUF,It is not far now.
0,81,0,KASUF,Here.
0,81,0,DANIEL,There's nothing here.
0,81,0,O'NEILL,Nice light breeze.
0,81,0,KASUF,This is where I heard the voice.
0,81,0,CARTER,"I'm getting a build up of static electricity, Sir."
0,81,0,VOICE,Daniel. Daniel.
0,81,0,DANIEL,Did anybody else just hear that?
0,81,0,CARTER,I think so.
0,81,0,KASUF,Look.
0,81,1,O'NEILL,Now that's impressive.
0,81,1,O'NEILL,Daniel? Try to keep it in Kansas huh.
0,81,1,DANIEL,I was just trying to. I'm Daniel. Who's calling?
0,81,2,SHIFU,I am Shifu. I am Harcesis.
0,81,3,DANIEL,Well I think that he is the Harcesis.
0,81,3,CARTER,How is that possible?
0,81,3,DANIEL,I'm not sure. He says he grew like the weeds.
0,81,3,TEAL'C,Apophis sired the child to be his next host. It is possible that he used Goa'uld technology to manipulate the boy's body to mature quickly.
0,81,3,DANIEL,We know that's possible.
0,81,3,TEAL'C,Does he speak of the knowledge passed onto him by Amaunet and Apophis?
0,81,3,DANIEL,He says Oma taught him to forget.
0,81,3,O'NEILL,Oma?
0,81,3,DANIEL,The alien we encountered on Kheb. Mother Nature.
0,81,3,CARTER,Guess that explains the tornado.
0,81,3,DANIEL,Shifu says he came to Abydos to learn more about his mother.
0,81,3,O'NEILL,Shi-fu?
0,81,3,DANIEL,His name. It means light.
0,81,3,CARTER,"I think we should get Doctor Fraiser to have a look at him. If he's been altered to grow quickly, it could still be happening."
0,81,3,O'NEILL,Do you think it's wise to bring him back?
0,81,3,DANIEL,I don't think he's a danger.
0,81,3,O'NEILL,What about his step-mom? Is she coming along?
0,81,3,DANIEL,He says that ultimately a man travels his chosen path alone.
0,81,3,O'NEILL,Smart kid. Get a message to Hammond. Let him know who we're bringing.
0,81,5,DANIEL,Shifu. This is General Hammond. He's the leader of this facility.
0,81,5,HAMMOND,Welcome to Earth.
0,81,5,SHIFU,A spark lights the flame but the candle will only burn as long as the wick.
0,81,6,O'NEILL,"If I may Sir. I think what he means is the wick is the centre of the candle and ostensibly a great leader like yourself is essential. to the whole ball of wax. Basically what it means is, that's it's always better to have a big long wick. Right?"
0,81,6,DANIEL,Don't look at me.
0,81,7,O'NEILL,It's right though. Right?
0,81,8,FRAISER,Okay. Now I'm going to take a little bit of your blood with that needle.
0,81,8,SHIFU,Will you return it to me when you are done?
0,81,8,FRAISER,I'm afraid I can't. You see I have to do some tests on it and then it just won't be very good after that.
0,81,8,SHIFU,Leaves fall from the tree once a year but the tree still grows strong and proud.
0,81,8,DANIEL,Go ahead.
0,81,8,FRAISER,Okay.
0,81,9,HAMMOND,Doctor?
0,81,9,FRAISER,"Sir, I found traces of the same nanocyte technology that once prematurely aged Colonel O'Neill. Now I've had them analysed by some of the foremost experts in the field and they say they appear to be inactive."
0,81,9,O'NEILL,So they shut themselves off already?
0,81,9,FRAISER,Well it's possible the boy has already reached the pre-programmed age.
0,81,9,DANIEL,Or Oma figured out a way to stop it.
0,81,9,HAMMOND,Either way we can assume he's in no immediate physical danger?
0,81,9,FRAISER,Yes Sir.
0,81,9,HAMMOND,What about the information this boy apparently knows? What exactly can he tell us?
0,81,9,TEAL'C,He is born with the genetic memory of all Goa'uld who came before him.
0,81,9,O'NEILL,So the kid should know everything Apophis knew when he..
0,81,9,DANIEL,Fathered the boy.
0,81,9,O'NEILL,That.
0,81,9,HAMMOND,That must be an awfully big burden for a young child to carry.
0,81,9,TEAL'C,That is why all Goa'uld are born evil.
0,81,9,DANIEL,It also explains why a benevolent being like Oma Desala would help the boy to bury those memories in his subconscious so he could lead a normal life.
0,81,10,CARTER,"Sir, we've received word from the Tok'ra."
0,81,10,O'NEILL,Oh did we really have to call them?
0,81,10,HAMMOND,"We have a treaty with them Colonel, specifically mentioned is the full exchange of all sources of information pertaining to the Goa'uld."
0,81,10,CARTER,They say they can use the memory recall device to extract information from Shifu without harming him physically.
0,81,10,FRAISER,What about mentally?
0,81,10,DANIEL,Ahh what about emotionally? I mean think about what we'd be exposing him to. We'd be flooding his mind with the thoughts of a thousand Hitlers. One of whom happened put a snake in the head of his mother. Look I realise we're talking about protecting Earth and potentially eliminating the Goa'uld entirely but..
0,81,10,HAMMOND,It seems to me the boy is fairly wise well beyond his years in fact. Isn't it possible he might comprehend the situation if you explained it to him?
0,81,10,DANIEL,Well I guess so but I doubt he'd be willing to remember. And even if he is how can we ask him to?
0,81,10,CARTER,"Well if he forgot once, maybe he could forget again?"
0,81,11,SHIFU,She spoke to you through the Goa'uld hand device?
0,81,11,DANIEL,Yes.
0,81,11,SHIFU,She was strong.
0,81,11,DANIEL,In those moments as Amaunet tried to kill me it felt like I lived a lifetime.
0,81,11,SHIFU,Like a dream.
0,81,11,DANIEL,Yes.
0,81,11,SHIFU,Dreams teach.
0,81,11,DANIEL,Sometimes. In this one I got the chance to say goodbye and your mother told me how important you were.
0,81,11,SHIFU,Oma teaches the true nature of a man is decided in the battle between his conscious mind and the desires of the subconscious. Oma teaches the evil my subconscious is too strong to resist and the only way to win is to deny it battle.
0,81,11,DANIEL,"Yeah, see the thing is we can't deny the battle against the Goa'uld forever, the information contained within your buried memories could really help us."
0,81,11,SHIFU,You have chosen a path that leads to me because of this?
0,81,11,DANIEL,Yes.
